system   D            wsystem.c:583  maybe_parent_dir                 [   0.00037] Also searching C:\Users\Albi\Desktop\LUA_Attack\
display  D   display_settings.c:191  debug_display_settings           [   0.11951] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11952] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11953] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11953] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11954] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11955] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11955] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11956] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11956] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11957] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11958] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11958] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11959] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11960] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11960] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11961] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11961] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11962] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11962] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11963] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11964] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11964] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11965] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11966] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11966] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11967] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11967] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11968] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11969] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11969] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11970] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11970] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11971] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11972] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11972] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11973] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11973] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11974] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11975] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11976] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11976] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11977] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11977] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11978] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.11979] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11979] Score is : 589
display  D   display_settings.c:191  debug_display_settings           [   0.11980] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11980] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11981] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11982] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11982] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.11983] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.11983] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
